"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"shape1[1]",2.57,0,0.17,2.26,2.46,2.57,2.69,2.92,8242.26,1
"shape1[2]",2.55,0,0.15,2.29,2.45,2.55,2.65,2.87,9684.19,1
"shape1[3]",2.47,0,0.12,2.25,2.38,2.46,2.54,2.72,9855.86,1
"shape1[4]",2.53,0,0.15,2.25,2.42,2.52,2.63,2.84,8798.22,1
"shape1[5]",2.31,0,0.09,2.17,2.25,2.31,2.36,2.51,9015.62,1
"shape1[6]",2.41,0,0.11,2.21,2.33,2.4,2.47,2.65,9174.32,1
"shape1[7]",2.46,0,0.1,2.28,2.39,2.46,2.53,2.69,9331.79,1
"shape1[8]",2.47,0,0.11,2.28,2.39,2.45,2.54,2.71,8272.77,1
"shape1[9]",2.41,0,0.09,2.26,2.35,2.4,2.47,2.6,9878.99,1
"shape1[10]",2.58,0,0.1,2.39,2.51,2.57,2.64,2.8,10680.57,1
"shape1[11]",2.48,0,0.1,2.31,2.42,2.48,2.55,2.69,11236.4,1
"shape1[12]",2.45,0,0.09,2.28,2.39,2.44,2.51,2.65,10143.3,1
"shape2[1]",2.47,0,0.26,2.05,2.28,2.44,2.63,3.06,12074.25,1
"shape2[2]",2.26,0,0.19,2.01,2.11,2.22,2.37,2.72,14003.33,1
"shape2[3]",2.11,0,0.1,2,2.04,2.09,2.16,2.37,19026.24,1
"shape2[4]",2.36,0,0.21,2.04,2.2,2.33,2.49,2.82,12111.36,1
"shape2[5]",2.11,0,0.09,2,2.04,2.09,2.16,2.35,12536.72,1
"shape2[6]",2.17,0,0.13,2.01,2.07,2.14,2.24,2.48,12409.35,1
"shape2[7]",2.11,0,0.09,2,2.04,2.08,2.15,2.35,16072.43,1
"shape2[8]",2.17,0,0.13,2.01,2.07,2.15,2.24,2.48,11536.98,1
"shape2[9]",2.09,0,0.08,2,2.03,2.07,2.13,2.31,15682.94,1
"shape2[10]",2.09,0,0.08,2,2.03,2.07,2.13,2.31,18814.44,1
"shape2[11]",2.05,0,0.05,2,2.01,2.03,2.07,2.18,23254.47,1
"shape2[12]",2.08,0,0.08,2,2.03,2.06,2.11,2.28,17214.45,1
"stretch[1]",0.89,0,0.04,0.81,0.86,0.89,0.92,0.97,11400.72,1
"stretch[2]",0.91,0,0.04,0.83,0.88,0.91,0.93,0.98,13027.13,1
"stretch[3]",0.92,0,0.03,0.85,0.89,0.92,0.94,0.98,12861.19,1
"stretch[4]",0.98,0,0.04,0.9,0.95,0.98,1,1.05,10448.48,1
"stretch[5]",1.16,0,0.03,1.1,1.14,1.16,1.18,1.22,11911.18,1
"stretch[6]",1.12,0,0.03,1.05,1.09,1.12,1.14,1.18,11709.15,1
"stretch[7]",1.13,0,0.03,1.06,1.11,1.13,1.15,1.19,12487.52,1
"stretch[8]",1.16,0,0.03,1.09,1.14,1.16,1.18,1.22,10939.1,1
"stretch[9]",1.12,0,0.03,1.06,1.1,1.12,1.14,1.17,13057.71,1
"stretch[10]",1.19,0,0.03,1.12,1.17,1.19,1.21,1.26,14321.17,1
"stretch[11]",1.15,0,0.03,1.08,1.13,1.15,1.17,1.22,14846.78,1
"stretch[12]",1.21,0,0.03,1.14,1.18,1.21,1.23,1.27,12827.73,1
"min_max[1,1]",-18.56,0.01,1,-20.47,-19.23,-18.58,-17.91,-16.54,9160.14,1
"min_max[1,2]",18.66,0,0.56,17.81,18.26,18.58,18.99,19.94,15992.09,1
"min_max[2,1]",-18.82,0.01,0.9,-20.65,-19.41,-18.8,-18.21,-17.08,10259.95,1
"min_max[2,2]",18.63,0,0.45,17.99,18.31,18.55,18.88,19.71,17845.65,1
"min_max[3,1]",-18.5,0.01,0.87,-20.26,-19.07,-18.49,-17.93,-16.83,9453.04,1
"min_max[3,2]",18.23,0,0.27,17.83,18.04,18.19,18.37,18.86,20922.88,1
"min_max[4,1]",-17.96,0.01,0.94,-19.8,-18.59,-17.97,-17.34,-16.1,9453.96,1
"min_max[4,2]",18.86,0,0.46,18.15,18.52,18.8,19.13,19.91,14959.37,1
"min_max[5,1]",-18.73,0.01,0.56,-19.95,-19.07,-18.68,-18.34,-17.76,9454.93,1
"min_max[5,2]",18.44,0,0.24,18.09,18.27,18.4,18.56,19.03,16478,1
"min_max[6,1]",-18.64,0.01,0.7,-20.1,-19.08,-18.61,-18.18,-17.3,9924.71,1
"min_max[6,2]",18.71,0,0.34,18.22,18.47,18.65,18.89,19.52,16114.86,1
"min_max[7,1]",-18.97,0.01,0.72,-20.47,-19.43,-18.93,-18.47,-17.63,9344.56,1
"min_max[7,2]",18.2,0,0.22,17.87,18.05,18.16,18.31,18.72,19083.51,1
"min_max[8,1]",-19,0.01,0.68,-20.44,-19.44,-18.96,-18.54,-17.78,9060.22,1
"min_max[8,2]",18.46,0,0.29,18.04,18.25,18.4,18.61,19.16,14265.26,1
"min_max[9,1]",-19.21,0.01,0.63,-20.55,-19.61,-19.17,-18.78,-18.1,9979.88,1
"min_max[9,2]",19.21,0,0.3,18.76,19,19.16,19.36,19.93,21619.78,1
"min_max[10,1]",-19.35,0.01,0.74,-20.88,-19.83,-19.33,-18.85,-17.96,10382.69,1
"min_max[10,2]",18.68,0,0.25,18.31,18.51,18.64,18.81,19.28,22590.3,1
"min_max[11,1]",-19.22,0.01,0.74,-20.75,-19.7,-19.19,-18.7,-17.87,10328.51,1
"min_max[11,2]",18.73,0,0.22,18.36,18.57,18.7,18.85,19.25,22337.76,1
"min_max[12,1]",-18.62,0.01,0.67,-20.02,-19.05,-18.59,-18.16,-17.37,10102.67,1
"min_max[12,2]",18.55,0,0.23,18.21,18.4,18.52,18.67,19.11,21553.71,1
"nu[1]",5.91,0,0.37,5.2,5.66,5.91,6.16,6.65,23356.84,1
"nu[2]",6.07,0,0.37,5.35,5.82,6.07,6.32,6.81,23963.85,1
"nu[3]",6.89,0,0.42,6.07,6.61,6.89,7.18,7.73,24675.07,1
"nu[4]",7.64,0,0.46,6.77,7.33,7.64,7.95,8.55,22713.39,1
"nu[5]",9.28,0,0.56,8.19,8.9,9.27,9.65,10.4,25677.42,1
"nu[6]",8.04,0,0.49,7.1,7.71,8.03,8.37,9,24212.76,1
"nu[7]",7.67,0,0.47,6.76,7.35,7.66,7.98,8.59,23478.2,1
"nu[8]",8.56,0,0.53,7.54,8.2,8.55,8.91,9.61,26322.88,1
"nu[9]",9.23,0,0.55,8.17,8.85,9.22,9.6,10.31,25955.98,1
"nu[10]",7.77,0,0.48,6.84,7.45,7.76,8.08,8.71,24210.03,1
"nu[11]",7.32,0,0.45,6.45,7.02,7.32,7.62,8.22,24785.51,1
"nu[12]",8.16,0,0.5,7.2,7.81,8.15,8.5,9.15,24774.31,1
"mu_shape1",2.59,0,0.28,2.04,2.41,2.59,2.78,3.14,25787.98,1
"mu_shape2",2.31,0,0.28,1.76,2.12,2.32,2.5,2.87,25671.63,1
"mu_stretch",0.99,0,0.28,0.45,0.8,0.99,1.18,1.54,26448.78,1
"mu_min",-18.7,0,0.39,-19.5,-18.96,-18.69,-18.43,-17.94,8792.33,1
"mu_max",18.52,0,0.29,17.96,18.32,18.52,18.72,19.11,25752.72,1
"mu_nu",0.28,0,0.06,0.18,0.24,0.27,0.31,0.4,27659.78,1
"mu_beta0",4.63,0.01,0.55,3.59,4.26,4.61,4.98,5.75,8654.92,1
"mu_beta1",2.08,0.01,0.71,0.76,1.6,2.06,2.55,3.53,6631.4,1
"beta_0[1]",5.03,0.01,0.97,3.21,4.35,5,5.67,7.03,16859.33,1
"beta_0[2]",5.02,0.01,0.99,3.2,4.33,4.98,5.67,7.05,16579.75,1
"beta_0[3]",5.04,0.01,0.97,3.21,4.36,5.01,5.69,7.02,16316.59,1
"beta_0[4]",5.06,0.01,0.96,3.27,4.38,5.03,5.68,7,16696.68,1
"beta_0[5]",5.02,0.01,0.97,3.21,4.34,4.99,5.66,6.98,16096.13,1
"beta_0[6]",5.02,0.01,0.98,3.2,4.33,4.98,5.66,7.03,15747.86,1
"beta_0[7]",5.03,0.01,0.97,3.23,4.36,4.99,5.66,7.03,16900.7,1
"beta_0[8]",5.01,0.01,0.99,3.18,4.33,4.97,5.66,7.06,16393.29,1
"beta_0[9]",4.99,0.01,1,3.12,4.29,4.96,5.65,7.06,16223.73,1
"beta_0[10]",4.99,0.01,0.99,3.16,4.3,4.94,5.64,7.03,15656.78,1
"beta_0[11]",4.98,0.01,1,3.13,4.29,4.94,5.64,7.02,16345.85,1
"beta_0[12]",4.99,0.01,0.98,3.16,4.31,4.96,5.63,7.03,16374.42,1
"beta_1[1]",2.25,0.01,1.17,0.05,1.45,2.22,3.03,4.61,11998.62,1
"beta_1[2]",2.24,0.01,1.15,0.07,1.45,2.22,3.01,4.55,12560.15,1
"beta_1[3]",2.25,0.01,1.14,0.1,1.45,2.21,3.02,4.56,12091.96,1
"beta_1[4]",2.26,0.01,1.14,0.13,1.46,2.23,3.02,4.54,12459.01,1
"beta_1[5]",2.26,0.01,1.14,0.15,1.47,2.23,3.01,4.58,12457.01,1
"beta_1[6]",2.26,0.01,1.15,0.1,1.46,2.22,3.01,4.62,12434.59,1
"beta_1[7]",2.26,0.01,1.14,0.12,1.47,2.22,3.02,4.56,12369.26,1
"beta_1[8]",2.25,0.01,1.15,0.16,1.44,2.22,3.02,4.59,11643.17,1
"beta_1[9]",2.28,0.01,1.15,0.12,1.47,2.25,3.04,4.59,12612.89,1
"beta_1[10]",2.25,0.01,1.15,0.12,1.45,2.22,3.03,4.58,11623.01,1
"beta_1[11]",2.26,0.01,1.13,0.14,1.47,2.23,3.01,4.59,12209.94,1
"beta_1[12]",2.26,0.01,1.15,0.13,1.44,2.23,3.03,4.6,12196.31,1
"x_min[1]",-18.56,0.01,1,-20.47,-19.23,-18.58,-17.91,-16.54,9160.14,1
"x_min[2]",-18.82,0.01,0.9,-20.65,-19.41,-18.8,-18.21,-17.08,10259.95,1
"x_min[3]",-18.5,0.01,0.87,-20.26,-19.07,-18.49,-17.93,-16.83,9453.04,1
"x_min[4]",-17.96,0.01,0.94,-19.8,-18.59,-17.97,-17.34,-16.1,9453.96,1
"x_min[5]",-18.73,0.01,0.56,-19.95,-19.07,-18.68,-18.34,-17.76,9454.93,1
"x_min[6]",-18.64,0.01,0.7,-20.1,-19.08,-18.61,-18.18,-17.3,9924.71,1
"x_min[7]",-18.97,0.01,0.72,-20.47,-19.43,-18.93,-18.47,-17.63,9344.56,1
"x_min[8]",-19,0.01,0.68,-20.44,-19.44,-18.96,-18.54,-17.78,9060.22,1
"x_min[9]",-19.21,0.01,0.63,-20.55,-19.61,-19.17,-18.78,-18.1,9979.88,1
"x_min[10]",-19.35,0.01,0.74,-20.88,-19.83,-19.33,-18.85,-17.96,10382.69,1
"x_min[11]",-19.22,0.01,0.74,-20.75,-19.7,-19.19,-18.7,-17.87,10328.51,1
"x_min[12]",-18.62,0.01,0.67,-20.02,-19.05,-18.59,-18.16,-17.37,10102.67,1
"x_max[1]",18.66,0,0.56,17.81,18.26,18.58,18.99,19.94,15992.09,1
"x_max[2]",18.63,0,0.45,17.99,18.31,18.55,18.88,19.71,17845.65,1
"x_max[3]",18.23,0,0.27,17.83,18.04,18.19,18.37,18.86,20922.88,1
"x_max[4]",18.86,0,0.46,18.15,18.52,18.8,19.13,19.91,14959.37,1
"x_max[5]",18.44,0,0.24,18.09,18.27,18.4,18.56,19.03,16478,1
"x_max[6]",18.71,0,0.34,18.22,18.47,18.65,18.89,19.52,16114.86,1
"x_max[7]",18.2,0,0.22,17.87,18.05,18.16,18.31,18.72,19083.51,1
"x_max[8]",18.46,0,0.29,18.04,18.25,18.4,18.61,19.16,14265.26,1
"x_max[9]",19.21,0,0.3,18.76,19,19.16,19.36,19.93,21619.78,1
"x_max[10]",18.68,0,0.25,18.31,18.51,18.64,18.81,19.28,22590.3,1
"x_max[11]",18.73,0,0.22,18.36,18.57,18.7,18.85,19.25,22337.76,1
"x_max[12]",18.55,0,0.23,18.21,18.4,18.52,18.67,19.11,21553.71,1
"mu[1]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[2]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[3]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[4]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[5]",1.57,0,0.07,1.44,1.52,1.56,1.61,1.7,24527.84,1
"mu[6]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[7]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[8]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[9]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[10]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[11]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[12]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
"mu[13]",1.57,0,0.07,1.44,1.52,1.56,1.61,1.7,24527.84,1
"mu[14]",1.53,0,0.06,1.4,1.48,1.53,1.57,1.65,26764.6,1
"mu[15]",1.01,0,0.07,0.88,0.96,1,1.05,1.14,18398.15,1
"mu[16]",0.13,0,0.04,0.05,0.1,0.13,0.16,0.21,21309.05,1
"mu[17]",0.02,0,0.02,0,0.01,0.02,0.03,0.06,12969.78,1
"mu[18]",0.32,0,0.04,0.24,0.29,0.32,0.34,0.39,22369.14,1
"mu[19]",0.78,0,0.05,0.69,0.75,0.78,0.81,0.87,17895.39,1
"mu[20]",1.25,0,0.05,1.15,1.22,1.25,1.29,1.36,23522.5,1
