"","Pop.x","year.x","ToptCI","B50CI","B80CI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"1","N1","2010","31.99 [31.15, 32.9]","21.69 [20.33, 23.11]","13.15 [12.15, 14.23]","37.64 [35.34, 39.72]","8.79 [7.2, 10.77]","46.43 [45.61, 47.63]","0.41 [0.37, 0.45]","32.57 [30.19, 35.05]"
"7","N1","2017","32.48 [31.63, 33.33]","22.57 [21.39, 23.65]","13.79 [12.87, 14.63]","37.23 [35.59, 39.1]","9.06 [7.62, 10.51]","46.29 [45.72, 47.3]","0.41 [0.38, 0.45]","33.61 [31.31, 35.97]"
"2","N2","2010","32.93 [32.21, 33.61]","22.22 [21.26, 23.1]","13.59 [12.83, 14.26]","36.65 [35.13, 38.12]","9.13 [7.8, 10.6]","45.78 [45.46, 46.33]","0.42 [0.39, 0.45]","33.68 [31.66, 35.78]"
"8","N2","2017","32.47 [31.71, 33.26]","21.72 [20.65, 22.77]","13.24 [12.39, 14.1]","36.48 [34.2, 38.82]","10.19 [8.45, 12.04]","46.67 [45.88, 47.83]","0.45 [0.42, 0.48]","35.34 [33.35, 37.37]"
"3","C1","2010","31.71 [31.11, 32.28]","23.86 [23.05, 24.58]","14.75 [14.08, 15.33]","36.9 [36.27, 37.8]","9.2 [8.54, 9.7]","46.1 [45.78, 46.64]","0.5 [0.47, 0.52]","42.37 [40.45, 44.35]"
"9","C1","2017","32.34 [31.65, 33]","23.39 [22.48, 24.24]","14.39 [13.65, 15.04]","37.17 [36.15, 38.47]","9.22 [8.28, 10.1]","46.38 [45.94, 47.16]","0.48 [0.45, 0.51]","40.61 [38.51, 42.79]"
"4","C2","2010","32.54 [31.93, 33.12]","22.77 [21.94, 23.49]","13.96 [13.28, 14.53]","36.93 [36.12, 38.01]","8.86 [7.95, 9.58]","45.78 [45.54, 46.24]","0.51 [0.48, 0.54]","41.93 [39.87, 44.05]"
"10","C2","2017","32.39 [31.74, 32.99]","23.09 [22.21, 23.85]","14.17 [13.46, 14.79]","37.21 [36.38, 38.4]","8.84 [7.93, 9.54]","46.04 [45.71, 46.65]","0.51 [0.48, 0.54]","42.46 [40.41, 44.56]"
"5","S1","2010","32.85 [32.27, 33.39]","24.05 [23.29, 24.8]","14.79 [14.18, 15.37]","38.3 [37.5, 39.43]","8.63 [7.82, 9.27]","46.93 [46.48, 47.68]","0.49 [0.46, 0.52]","42.53 [40.74, 44.4]"
"11","S1","2017","33.42 [32.79, 34.02]","22.8 [21.99, 23.61]","13.92 [13.27, 14.55]","38.09 [37.07, 39.44]","8.32 [7.22, 9.24]","46.42 [46.01, 47.11]","0.53 [0.5, 0.57]","44.13 [41.82, 46.52]"
"6","S2","2010","33.08 [32.49, 33.64]","23.34 [22.57, 24.1]","14.33 [13.73, 14.94]","37.46 [36.63, 38.48]","8.92 [7.97, 9.71]","46.38 [46.05, 46.87]","0.52 [0.48, 0.55]","43.57 [41.24, 46.01]"
"12","S2","2017","32.89 [32.31, 33.42]","22.99 [22.28, 23.66]","14.13 [13.55, 14.68]","36.73 [35.84, 37.65]","9.44 [8.64, 10.3]","46.17 [45.88, 46.65]","0.54 [0.51, 0.57]","44.51 [42.4, 46.71]"
