,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.533,2.174**,1.081,2.359**,1.646*,0.878,0.029,1.703*,1.395,1.114,1.304
2,-0.533,0,1.642**,0.549,1.826**,1.113,0.346,-0.504,1.17,0.862,0.581,0.771
3,-2.174**,-1.642**,0,-1.093*,0.185,-0.528,-1.296,-2.145**,-0.471,-0.779,-1.06,-0.871
4,-1.081,-0.549,1.093*,0,1.277**,0.565,-0.203,-1.052,0.621,0.313,0.033,0.222
5,-2.359**,-1.826**,-0.185,-1.277**,0,-0.713,-1.481*,-2.33**,-0.656,-0.964,-1.245*,-1.055*
6,-1.646*,-1.113,0.528,-0.565,0.713,0,-0.768,-1.617**,0.057,-0.251,-0.532,-0.342
7,-0.878,-0.346,1.296,0.203,1.481*,0.768,0,-0.849,0.825,0.517,0.236,0.425
8,-0.029,0.504,2.145**,1.052,2.33**,1.617**,0.849,0,1.674**,1.366*,1.085,1.274
9,-1.703*,-1.17,0.471,-0.621,0.656,-0.057,-0.825,-1.674**,0,-0.308,-0.589,-0.399
10,-1.395,-0.862,0.779,-0.313,0.964,0.251,-0.517,-1.366*,0.308,0,-0.281,-0.091
11,-1.114,-0.581,1.06,-0.033,1.245*,0.532,-0.236,-1.085,0.589,0.281,0,0.189
12,-1.304,-0.771,0.871,-0.222,1.055*,0.342,-0.425,-1.274,0.399,0.091,-0.189,0
