,1,2,3,4,5,6,7,8,9,10,11,12
1,0,1.001,0.445,0.814,1.53**,1.503**,0.73,0.522,0.875,0.779,1.622**,1.238*
2,-1.001,0,-0.556,-0.187,0.529,0.502,-0.271,-0.479,-0.126,-0.222,0.621,0.237
3,-0.445,0.556,0,0.368,1.085**,1.058**,0.284,0.077,0.429,0.333,1.177**,0.792*
4,-0.814,0.187,-0.368,0,0.716,0.689*,-0.084,-0.291,0.061,-0.035,0.809*,0.424
5,-1.53**,-0.529,-1.085**,-0.716,0,-0.027,-0.8,-1.008*,-0.655,-0.751*,0.092,-0.292
6,-1.503**,-0.502,-1.058**,-0.689*,0.027,0,-0.773,-0.981*,-0.628,-0.724*,0.119,-0.265
7,-0.73,0.271,-0.284,0.084,0.8,0.773,0,-0.207,0.145,0.049,0.892,0.508
8,-0.522,0.479,-0.077,0.291,1.008*,0.981*,0.207,0,0.353,0.256,1.1*,0.715
9,-0.875,0.126,-0.429,-0.061,0.655,0.628,-0.145,-0.353,0,-0.096,0.747,0.363
10,-0.779,0.222,-0.333,0.035,0.751*,0.724*,-0.049,-0.256,0.096,0,0.844*,0.459
11,-1.622**,-0.621,-1.177**,-0.809*,-0.092,-0.119,-0.892,-1.1*,-0.747,-0.844*,0,-0.384
12,-1.238*,-0.237,-0.792*,-0.424,0.292,0.265,-0.508,-0.715,-0.363,-0.459,0.384,0
