,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.568,-1.15*,0.007,-0.104,0.326,0.088,0.438,-0.359,-0.234,0.859,0.258
2,-0.568,0,-1.718**,-0.561,-0.672,-0.242,-0.48,-0.13,-0.927,-0.802,0.291,-0.31
3,1.15*,1.718**,0,1.157**,1.046*,1.476**,1.238*,1.588**,0.79,0.915,2.009**,1.407**
4,-0.007,0.561,-1.157**,0,-0.111,0.319,0.081,0.431,-0.366,-0.242,0.852,0.25
5,0.104,0.672,-1.046*,0.111,0,0.43,0.192,0.542,-0.255,-0.13,0.963,0.362
6,-0.326,0.242,-1.476**,-0.319,-0.43,0,-0.238,0.112,-0.685,-0.56,0.533,-0.068
7,-0.088,0.48,-1.238*,-0.081,-0.192,0.238,0,0.35,-0.447,-0.323,0.771,0.169
8,-0.438,0.13,-1.588**,-0.431,-0.542,-0.112,-0.35,0,-0.797,-0.672,0.421,-0.18
9,0.359,0.927,-0.79,0.366,0.255,0.685,0.447,0.797,0,0.125,1.218*,0.617
10,0.234,0.802,-0.915,0.242,0.13,0.56,0.323,0.672,-0.125,0,1.094*,0.492
11,-0.859,-0.291,-2.009**,-0.852,-0.963,-0.533,-0.771,-0.421,-1.218*,-1.094*,0,-0.602
12,-0.258,0.31,-1.407**,-0.25,-0.362,0.068,-0.169,0.18,-0.617,-0.492,0.602,0
