,1,2,3,4,5,6,7,8,9,10,11,12
1,0,1.108,9.799**,9.355**,9.959**,10.998**,1.033,2.761,8.035**,9.882**,11.556**,11.939**
2,-1.108,0,8.692**,8.248**,8.852**,9.891**,-0.074,1.654,6.928**,8.775**,10.448**,10.832**
3,-9.799**,-8.692**,0,-0.444,0.16,1.199,-8.766**,-7.038**,-1.764,0.083,1.756,2.14
4,-9.355**,-8.248**,0.444,0,0.604,1.643,-8.322**,-6.594**,-1.32,0.527,2.2,2.584
5,-9.959**,-8.852**,-0.16,-0.604,0,1.039,-8.926**,-7.198**,-1.924,-0.077,1.596,1.98
6,-10.998**,-9.891**,-1.199,-1.643,-1.039,0,-9.965**,-8.237**,-2.963,-1.116,0.558,0.941
7,-1.033,0.074,8.766**,8.322**,8.926**,9.965**,0,1.728,7.002**,8.849**,10.522**,10.906**
8,-2.761,-1.654,7.038**,6.594**,7.198**,8.237**,-1.728,0,5.274**,7.121**,8.794**,9.178**
9,-8.035**,-6.928**,1.764,1.32,1.924,2.963,-7.002**,-5.274**,0,1.847,3.52*,3.904**
10,-9.882**,-8.775**,-0.083,-0.527,0.077,1.116,-8.849**,-7.121**,-1.847,0,1.674,2.057
11,-11.556**,-10.448**,-1.756,-2.2,-1.596,-0.558,-10.522**,-8.794**,-3.52*,-1.674,0,0.384
12,-11.939**,-10.832**,-2.14,-2.584,-1.98,-0.941,-10.906**,-9.178**,-3.904**,-2.057,-0.384,0
