,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.007,0.084**,0.098**,0.079**,0.106**,-0.001,0.036,0.07**,0.098**,0.122**,0.125**
2,-0.007,0,0.077**,0.091**,0.072**,0.099**,-0.007,0.029,0.064**,0.091**,0.115**,0.119**
3,-0.084**,-0.077**,0,0.014,-0.004,0.022,-0.084**,-0.047*,-0.013,0.014,0.038,0.042
4,-0.098**,-0.091**,-0.014,0,-0.019,0.008,-0.098**,-0.062**,-0.028,0,0.024,0.027
5,-0.079**,-0.072**,0.004,0.019,0,0.027,-0.08**,-0.043,-0.009,0.019,0.042,0.046*
6,-0.106**,-0.099**,-0.022,-0.008,-0.027,0,-0.107**,-0.07**,-0.036,-0.008,0.015,0.019
7,0.001,0.007,0.084**,0.098**,0.08**,0.107**,0,0.037,0.071**,0.098**,0.122**,0.126**
8,-0.036,-0.029,0.047*,0.062**,0.043,0.07**,-0.037,0,0.034,0.061**,0.085**,0.089**
9,-0.07**,-0.064**,0.013,0.028,0.009,0.036,-0.071**,-0.034,0,0.027,0.051*,0.055**
10,-0.098**,-0.091**,-0.014,0,-0.019,0.008,-0.098**,-0.061**,-0.027,0,0.024,0.028
11,-0.122**,-0.115**,-0.038,-0.024,-0.042,-0.015,-0.122**,-0.085**,-0.051*,-0.024,0,0.004
12,-0.125**,-0.119**,-0.042,-0.027,-0.046*,-0.019,-0.126**,-0.089**,-0.055**,-0.028,-0.004,0
