,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.936,-0.277,0.554,0.86,1.094*,0.494,0.477,0.355,0.395,1.432**,0.896
2,-0.936,0,-1.213**,-0.381,-0.075,0.158,-0.442,-0.458,-0.581,-0.54,0.497,-0.039
3,0.277,1.213**,0,0.832*,1.138**,1.371**,0.771,0.754,0.632,0.672,1.71**,1.173**
4,-0.554,0.381,-0.832*,0,0.306,0.539,-0.06,-0.077,-0.2,-0.159,0.878*,0.342
5,-0.86,0.075,-1.138**,-0.306,0,0.233,-0.366,-0.383,-0.506,-0.465,0.572,0.036
6,-1.094*,-0.158,-1.371**,-0.539,-0.233,0,-0.6,-0.617,-0.739,-0.699,0.338,-0.198
7,-0.494,0.442,-0.771,0.06,0.366,0.6,0,-0.017,-0.139,-0.099,0.938,0.402
8,-0.477,0.458,-0.754,0.077,0.383,0.617,0.017,0,-0.123,-0.082,0.955,0.419
9,-0.355,0.581,-0.632,0.2,0.506,0.739,0.139,0.123,0,0.041,1.078**,0.542
10,-0.395,0.54,-0.672,0.159,0.465,0.699,0.099,0.082,-0.041,0,1.037*,0.501
11,-1.432**,-0.497,-1.71**,-0.878*,-0.572,-0.338,-0.938,-0.955,-1.078**,-1.037*,0,-0.536
12,-0.896,0.039,-1.173**,-0.342,-0.036,0.198,-0.402,-0.419,-0.542,-0.501,0.536,0
