,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.053,0.282**,0.27**,0.245**,0.297**,0.037,0.104,0.227**,0.275**,0.293**,0.346**
2,-0.053,0,0.229**,0.216**,0.191**,0.244**,-0.016,0.05,0.173**,0.222**,0.239**,0.293**
3,-0.282**,-0.229**,0,-0.013,-0.038,0.015,-0.245**,-0.179**,-0.055,-0.007,0.01,0.064
4,-0.27**,-0.216**,0.013,0,-0.025,0.028,-0.232**,-0.166**,-0.043,0.006,0.023,0.077
5,-0.245**,-0.191**,0.038,0.025,0,0.053,-0.208**,-0.141**,-0.018,0.031,0.048,0.101*
6,-0.297**,-0.244**,-0.015,-0.028,-0.053,0,-0.26**,-0.194**,-0.07,-0.022,-0.005,0.049
7,-0.037,0.016,0.245**,0.232**,0.208**,0.26**,0,0.066,0.19**,0.238**,0.256**,0.309**
8,-0.104,-0.05,0.179**,0.166**,0.141**,0.194**,-0.066,0,0.123*,0.172**,0.189**,0.243**
9,-0.227**,-0.173**,0.055,0.043,0.018,0.07,-0.19**,-0.123*,0,0.048,0.066,0.119**
10,-0.275**,-0.222**,0.007,-0.006,-0.031,0.022,-0.238**,-0.172**,-0.048,0,0.017,0.071
11,-0.293**,-0.239**,-0.01,-0.023,-0.048,0.005,-0.256**,-0.189**,-0.066,-0.017,0,0.053
12,-0.346**,-0.293**,-0.064,-0.077,-0.101*,-0.049,-0.309**,-0.243**,-0.119**,-0.071,-0.053,0
