,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.656,-0.335,-0.648,0.496,-0.052,-0.146,0.236,-0.049,-0.392,-0.017,-0.262
2,0.656,0,0.321,0.008,1.152**,0.605,0.51,0.892,0.607,0.264,0.639,0.394
3,0.335,-0.321,0,-0.312,0.832*,0.284,0.189,0.571,0.286,-0.056,0.318,0.073
4,0.648,-0.008,0.312,0,1.144**,0.596*,0.502,0.884,0.599,0.256,0.631*,0.386
5,-0.496,-1.152**,-0.832*,-1.144**,0,-0.548,-0.642,-0.26,-0.545,-0.888*,-0.513,-0.758*
6,0.052,-0.605,-0.284,-0.596*,0.548,0,-0.095,0.288,0.003,-0.34,0.034,-0.211
7,0.146,-0.51,-0.189,-0.502,0.642,0.095,0,0.382,0.097,-0.246,0.129,-0.116
8,-0.236,-0.892,-0.571,-0.884,0.26,-0.288,-0.382,0,-0.285,-0.628,-0.253,-0.498
9,0.049,-0.607,-0.286,-0.599,0.545,-0.003,-0.097,0.285,0,-0.343,0.032,-0.213
10,0.392,-0.264,0.056,-0.256,0.888*,0.34,0.246,0.628,0.343,0,0.375,0.129
11,0.017,-0.639,-0.318,-0.631*,0.513,-0.034,-0.129,0.253,-0.032,-0.375,0,-0.245
12,0.262,-0.394,-0.073,-0.386,0.758*,0.211,0.116,0.498,0.213,-0.129,0.245,0
