,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.837,0.677,0.783,1.655**,1.553**,0.733,0.582,0.9,0.738,1.485**,1.228**
2,-0.837,0,-0.16,-0.054,0.818**,0.715*,-0.104,-0.255,0.062,-0.1,0.647*,0.391
3,-0.677,0.16,0,0.106,0.978**,0.875**,0.056,-0.095,0.222,0.06,0.807**,0.551
4,-0.783,0.054,-0.106,0,0.872**,0.769**,-0.05,-0.201,0.116,-0.046,0.701**,0.445
5,-1.655**,-0.818**,-0.978**,-0.872**,0,-0.103,-0.922**,-1.073**,-0.756**,-0.918**,-0.171,-0.427
6,-1.553**,-0.715*,-0.875**,-0.769**,0.103,0,-0.819*,-0.97**,-0.653*,-0.815**,-0.068,-0.325
7,-0.733,0.104,-0.056,0.05,0.922**,0.819*,0,-0.151,0.166,0.004,0.751,0.495
8,-0.582,0.255,0.095,0.201,1.073**,0.97**,0.151,0,0.317,0.155,0.902**,0.646
9,-0.9,-0.062,-0.222,-0.116,0.756**,0.653*,-0.166,-0.317,0,-0.162,0.585,0.329
10,-0.738,0.1,-0.06,0.046,0.918**,0.815**,-0.004,-0.155,0.162,0,0.747**,0.49
11,-1.485**,-0.647*,-0.807**,-0.701**,0.171,0.068,-0.751,-0.902**,-0.585,-0.747**,0,-0.257
12,-1.228**,-0.391,-0.551,-0.445,0.427,0.325,-0.495,-0.646,-0.329,-0.49,0.257,0
