,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.042,-1.344*,-0.291,-0.557,0.065,0.205,0.387,-0.554,-0.428,0.582,0.033
2,-0.042,0,-1.386**,-0.333,-0.599,0.024,0.163,0.345,-0.596,-0.47,0.54,-0.009
3,1.344*,1.386**,0,1.053*,0.787,1.409**,1.549**,1.731**,0.79,0.915,1.926**,1.376**
4,0.291,0.333,-1.053*,0,-0.266,0.356,0.496,0.678,-0.263,-0.138,0.873,0.323
5,0.557,0.599,-0.787,0.266,0,0.622,0.762,0.944,0.003,0.129,1.139*,0.59
6,-0.065,-0.024,-1.409**,-0.356,-0.622,0,0.14,0.322,-0.619,-0.494,0.517,-0.033
7,-0.205,-0.163,-1.549**,-0.496,-0.762,-0.14,0,0.182,-0.759,-0.634,0.377,-0.173
8,-0.387,-0.345,-1.731**,-0.678,-0.944,-0.322,-0.182,0,-0.941,-0.815,0.195,-0.354
9,0.554,0.596,-0.79,0.263,-0.003,0.619,0.759,0.941,0,0.126,1.136*,0.587
10,0.428,0.47,-0.915,0.138,-0.129,0.494,0.634,0.815,-0.126,0,1.01,0.461
11,-0.582,-0.54,-1.926**,-0.873,-1.139*,-0.517,-0.377,-0.195,-1.136*,-1.01,0,-0.549
12,-0.033,0.009,-1.376**,-0.323,-0.59,0.033,0.173,0.354,-0.587,-0.461,0.549,0
