,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.349,0.573,0.13,1.419*,1.007,0.749,0.791,1.477*,0.582,0.999,0.832
2,-0.349,0,0.224,-0.219,1.07,0.658,0.4,0.442,1.128,0.233,0.65,0.483
3,-0.573,-0.224,0,-0.444,0.845,0.434,0.176,0.218,0.904,0.009,0.425,0.259
4,-0.13,0.219,0.444,0,1.289**,0.878,0.62,0.662,1.347**,0.453,0.869,0.703
5,-1.419*,-1.07,-0.845,-1.289**,0,-0.411,-0.669,-0.627,0.058,-0.836,-0.42,-0.586
6,-1.007,-0.658,-0.434,-0.878,0.411,0,-0.258,-0.216,0.469,-0.425,-0.009,-0.175
7,-0.749,-0.4,-0.176,-0.62,0.669,0.258,0,0.042,0.728,-0.167,0.249,0.083
8,-0.791,-0.442,-0.218,-0.662,0.627,0.216,-0.042,0,0.686,-0.209,0.207,0.041
9,-1.477*,-1.128,-0.904,-1.347**,-0.058,-0.469,-0.728,-0.686,0,-0.894*,-0.478,-0.645
10,-0.582,-0.233,-0.009,-0.453,0.836,0.425,0.167,0.209,0.894*,0,0.416,0.25
11,-0.999,-0.65,-0.425,-0.869,0.42,0.009,-0.249,-0.207,0.478,-0.416,0,-0.166
12,-0.832,-0.483,-0.259,-0.703,0.586,0.175,-0.083,-0.041,0.645,-0.25,0.166,0
