,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.553,10.097**,8.816**,9.807**,10.534**,0.82,2.802*,8.531**,10.315**,12.097**,11.73**
2,-0.553,0,9.544**,8.263**,9.254**,9.981**,0.267,2.249,7.978**,9.762**,11.544**,11.177**
3,-10.097**,-9.544**,0,-1.282,-0.29,0.437,-9.278**,-7.295**,-1.567,0.218,2,1.633
4,-8.816**,-8.263**,1.282,0,0.992,1.719,-7.996**,-6.014**,-0.285,1.499,3.281**,2.915*
5,-9.807**,-9.254**,0.29,-0.992,0,0.727,-8.988**,-7.005**,-1.277,0.507,2.29,1.923
6,-10.534**,-9.981**,-0.437,-1.719,-0.727,0,-9.715**,-7.732**,-2.004,-0.22,1.563,1.196
7,-0.82,-0.267,9.278**,7.996**,8.988**,9.715**,0,1.982,7.711**,9.495**,11.277**,10.911**
8,-2.802*,-2.249,7.295**,6.014**,7.005**,7.732**,-1.982,0,5.728**,7.513**,9.295**,8.928**
9,-8.531**,-7.978**,1.567,0.285,1.277,2.004,-7.711**,-5.728**,0,1.784,3.566**,3.2**
10,-10.315**,-9.762**,-0.218,-1.499,-0.507,0.22,-9.495**,-7.513**,-1.784,0,1.782,1.415
11,-12.097**,-11.544**,-2,-3.281**,-2.29,-1.563,-11.277**,-9.295**,-3.566**,-1.782,0,-0.367
12,-11.73**,-11.177**,-1.633,-2.915*,-1.923,-1.196,-10.911**,-8.928**,-3.2**,-1.415,0.367,0
