,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.225,-0.493,-0.405,-0.06,0.123,-0.059,0.234,1.2,0.811,0.723,-0.054
2,-0.225,0,-0.718,-0.629,-0.284,-0.101,-0.284,0.009,0.975,0.586,0.498,-0.278
3,0.493,0.718,0,0.089,0.434,0.617,0.434,0.727,1.693,1.304,1.216,0.44
4,0.405,0.629,-0.089,0,0.345,0.528,0.345,0.638,1.605,1.215,1.127,0.351
5,0.06,0.284,-0.434,-0.345,0,0.183,0,0.293,1.26,0.87,0.782,0.006
6,-0.123,0.101,-0.617,-0.528,-0.183,0,-0.183,0.11,1.076,0.687,0.599,-0.177
7,0.059,0.284,-0.434,-0.345,0,0.183,0,0.293,1.259,0.87,0.782,0.006
8,-0.234,-0.009,-0.727,-0.638,-0.293,-0.11,-0.293,0,0.966,0.577,0.489,-0.287
9,-1.2,-0.975,-1.693,-1.605,-1.26,-1.076,-1.259,-0.966,0,-0.389,-0.477,-1.254
10,-0.811,-0.586,-1.304,-1.215,-0.87,-0.687,-0.87,-0.577,0.389,0,-0.088,-0.864
11,-0.723,-0.498,-1.216,-1.127,-0.782,-0.599,-0.782,-0.489,0.477,0.088,0,-0.776
12,0.054,0.278,-0.44,-0.351,-0.006,0.177,-0.006,0.287,1.254,0.864,0.776,0
