,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.495,-0.079,-0.064,1.179,0.714,0.218,-0.44,0.123,0.225,0.804,-0.066
2,0.495,0,0.416,0.431,1.674,1.209,0.713,0.054,0.617,0.72,1.299,0.429
3,0.079,-0.416,0,0.015,1.258,0.793,0.297,-0.362,0.202,0.304,0.883,0.013
4,0.064,-0.431,-0.015,0,1.243,0.778,0.282,-0.377,0.186,0.289,0.868,-0.002
5,-1.179,-1.674,-1.258,-1.243,0,-0.465,-0.961,-1.62,-1.056,-0.954,-0.375,-1.245
6,-0.714,-1.209,-0.793,-0.778,0.465,0,-0.496,-1.155,-0.592,-0.489,0.09,-0.78
7,-0.218,-0.713,-0.297,-0.282,0.961,0.496,0,-0.659,-0.095,0.007,0.586,-0.284
8,0.44,-0.054,0.362,0.377,1.62,1.155,0.659,0,0.563,0.666,1.245,0.375
9,-0.123,-0.617,-0.202,-0.186,1.056,0.592,0.095,-0.563,0,0.102,0.682,-0.188
10,-0.225,-0.72,-0.304,-0.289,0.954,0.489,-0.007,-0.666,-0.102,0,0.579,-0.291
11,-0.804,-1.299,-0.883,-0.868,0.375,-0.09,-0.586,-1.245,-0.682,-0.579,0,-0.87
12,0.066,-0.429,-0.013,0.002,1.245,0.78,0.284,-0.375,0.188,0.291,0.87,0
