,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.831,-0.095,0.662,1.002,1.396**,0.733,0.566,0.438,0.475,1.615**,1.083*
2,-0.831,0,-0.925,-0.168,0.171,0.565,-0.098,-0.265,-0.393,-0.356,0.784,0.252
3,0.095,0.925,0,0.757,1.097**,1.49**,0.828,0.66,0.533,0.57,1.71**,1.177**
4,-0.662,0.168,-0.757,0,0.34,0.733,0.071,-0.097,-0.224,-0.187,0.953*,0.421
5,-1.002,-0.171,-1.097**,-0.34,0,0.394,-0.269,-0.437,-0.564,-0.527,0.613,0.081
6,-1.396**,-0.565,-1.49**,-0.733,-0.394,0,-0.663,-0.83,-0.957*,-0.921*,0.219,-0.313
7,-0.733,0.098,-0.828,-0.071,0.269,0.663,0,-0.167,-0.295,-0.258,0.882,0.35
8,-0.566,0.265,-0.66,0.097,0.437,0.83,0.167,0,-0.127,-0.09,1.05*,0.517
9,-0.438,0.393,-0.533,0.224,0.564,0.957*,0.295,0.127,0,0.037,1.177**,0.645
10,-0.475,0.356,-0.57,0.187,0.527,0.921*,0.258,0.09,-0.037,0,1.14**,0.608
11,-1.615**,-0.784,-1.71**,-0.953*,-0.613,-0.219,-0.882,-1.05*,-1.177**,-1.14**,0,-0.532
12,-1.083*,-0.252,-1.177**,-0.421,-0.081,0.313,-0.35,-0.517,-0.645,-0.608,0.532,0
