,1,2,3,4,5,6,7,8,9,10,11,12
1,0,0.027,0.273**,0.238**,0.227**,0.26**,0.017,0.087,0.225**,0.27**,0.299**,0.317**
2,-0.027,0,0.246**,0.212**,0.201**,0.234**,-0.01,0.06,0.198**,0.243**,0.272**,0.29**
3,-0.273**,-0.246**,0,-0.035,-0.046,-0.013,-0.256**,-0.186**,-0.048,-0.003,0.026,0.044
4,-0.238**,-0.212**,0.035,0,-0.011,0.022,-0.222**,-0.151**,-0.013,0.031,0.061,0.078
5,-0.227**,-0.201**,0.046,0.011,0,0.033,-0.211**,-0.141**,-0.002,0.042,0.071,0.089*
6,-0.26**,-0.234**,0.013,-0.022,-0.033,0,-0.244**,-0.174**,-0.035,0.009,0.038,0.056
7,-0.017,0.01,0.256**,0.222**,0.211**,0.244**,0,0.07,0.208**,0.253**,0.282**,0.3**
8,-0.087,-0.06,0.186**,0.151**,0.141**,0.174**,-0.07,0,0.138**,0.183**,0.212**,0.23**
9,-0.225**,-0.198**,0.048,0.013,0.002,0.035,-0.208**,-0.138**,0,0.045,0.074,0.092*
10,-0.27**,-0.243**,0.003,-0.031,-0.042,-0.009,-0.253**,-0.183**,-0.045,0,0.029,0.047
11,-0.299**,-0.272**,-0.026,-0.061,-0.071,-0.038,-0.282**,-0.212**,-0.074,-0.029,0,0.018
12,-0.317**,-0.29**,-0.044,-0.078,-0.089*,-0.056,-0.3**,-0.23**,-0.092*,-0.047,-0.018,0
