,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.031,-0.437,0.194,-0.225,0.044,-0.465,-0.208,0.547,0.017,0.065,-0.109
2,0.031,0,-0.406,0.226,-0.194,0.075,-0.433,-0.177,0.578,0.048,0.096,-0.078
3,0.437,0.406,0,0.631,0.212,0.481,-0.028,0.229,0.984**,0.454,0.502,0.328
4,-0.194,-0.226,-0.631,0,-0.42,-0.15,-0.659,-0.403,0.353,-0.178,-0.129,-0.304
5,0.225,0.194,-0.212,0.42,0,0.27,-0.239,0.017,0.772*,0.242,0.291,0.116
6,-0.044,-0.075,-0.481,0.15,-0.27,0,-0.509,-0.252,0.503,-0.027,0.021,-0.154
7,0.465,0.433,0.028,0.659,0.239,0.509,0,0.256,1.012**,0.481,0.53,0.355
8,0.208,0.177,-0.229,0.403,-0.017,0.252,-0.256,0,0.755,0.225,0.273,0.099
9,-0.547,-0.578,-0.984**,-0.353,-0.772*,-0.503,-1.012**,-0.755,0,-0.53,-0.482,-0.657
10,-0.017,-0.048,-0.454,0.178,-0.242,0.027,-0.481,-0.225,0.53,0,0.048,-0.126
11,-0.065,-0.096,-0.502,0.129,-0.291,-0.021,-0.53,-0.273,0.482,-0.048,0,-0.175
12,0.109,0.078,-0.328,0.304,-0.116,0.154,-0.355,-0.099,0.657,0.126,0.175,0
