,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.432,-0.221,-0.459,0.549,0.064,-0.025,0.195,0.052,-0.203,0.021,-0.108
2,0.432,0,0.211,-0.027,0.981*,0.496,0.407,0.627,0.483,0.229,0.453,0.324
3,0.221,-0.211,0,-0.238,0.77*,0.285,0.196,0.415,0.272,0.017,0.242,0.113
4,0.459,0.027,0.238,0,1.008**,0.523,0.434,0.654,0.51,0.256,0.48,0.351
5,-0.549,-0.981*,-0.77*,-1.008**,0,-0.485,-0.574,-0.354,-0.497,-0.752,-0.528,-0.657
6,-0.064,-0.496,-0.285,-0.523,0.485,0,-0.089,0.131,-0.013,-0.267,-0.043,-0.172
7,0.025,-0.407,-0.196,-0.434,0.574,0.089,0,0.22,0.077,-0.178,0.046,-0.083
8,-0.195,-0.627,-0.415,-0.654,0.354,-0.131,-0.22,0,-0.143,-0.398,-0.174,-0.303
9,-0.052,-0.483,-0.272,-0.51,0.497,0.013,-0.077,0.143,0,-0.255,-0.031,-0.159
10,0.203,-0.229,-0.017,-0.256,0.752,0.267,0.178,0.398,0.255,0,0.224,0.095
11,-0.021,-0.453,-0.242,-0.48,0.528,0.043,-0.046,0.174,0.031,-0.224,0,-0.129
12,0.108,-0.324,-0.113,-0.351,0.657,0.172,0.083,0.303,0.159,-0.095,0.129,0
