,1,2,3,4,5,6,7,8,9,10,11,12
1,0,-0.256,0.057,0.599,-0.166,-0.079,-0.405,-0.442,-0.653,-0.794,-0.657,-0.056
2,0.256,0,0.312,0.855,0.09,0.177,-0.149,-0.186,-0.397,-0.538,-0.401,0.2
3,-0.057,-0.312,0,0.543,-0.222,-0.136,-0.462,-0.498,-0.709,-0.85,-0.714,-0.112
4,-0.599,-0.855,-0.543,0,-0.765,-0.678,-1.004,-1.041,-1.252,-1.393,-1.256,-0.655
5,0.166,-0.09,0.222,0.765,0,0.086,-0.24,-0.276,-0.487,-0.628,-0.492,0.11
6,0.079,-0.177,0.136,0.678,-0.086,0,-0.326,-0.363,-0.574,-0.715,-0.578,0.023
7,0.405,0.149,0.462,1.004,0.24,0.326,0,-0.036,-0.247,-0.388,-0.252,0.35
8,0.442,0.186,0.498,1.041,0.276,0.363,0.036,0,-0.211,-0.352,-0.216,0.386
9,0.653,0.397,0.709,1.252,0.487,0.574,0.247,0.211,0,-0.141,-0.005,0.597
10,0.794,0.538,0.85,1.393,0.628,0.715,0.388,0.352,0.141,0,0.136,0.738
11,0.657,0.401,0.714,1.256,0.492,0.578,0.252,0.216,0.005,-0.136,0,0.602
12,0.056,-0.2,0.112,0.655,-0.11,-0.023,-0.35,-0.386,-0.597,-0.738,-0.602,0
