"","FamID","MomID","DadID","Fam.ord","Pop","Pop.ord","Year","Group","Group.ord","Reg","Reg.ord","Temp","Temp.ord","Temp.rep","Tray.set","Tray","Rep","Cell","TagID","Planting.date","Percival","Leaf.number.going.in","Leaf.number.coming.out..green.","Leaf.number.coming.out..brown.","Notes","NAleafIn","zeroLeafIn","sampledB4leafOut","outRGR","zeros","RGR","surv","regCol","daytimeTemp"
"1","GH_0114","SS4016","SS3657",54,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"A1",114.01,"2/18/19","I-31",NA,0,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"2","GH_0035","SS3606","SS3604",16,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"A2",35.01,"2/18/19","I-31",4,14,NA,NA,0,0,0,0,0,0.357142857142857,1,"#5E4FA2",35
"3","GH_0828","NFS120","NFS110",63,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"A3",828.01,"2/18/19","I-31",6,22,NA,NA,0,0,0,0,0,0.380952380952381,1,"#5E4FA2",35
"4","GH_0732","ROC158","ROC10",33,"N1",1,2017,"N1 2017",2,"N",1,"35.2",5,1,1,1,0.01,"A4",732.01,"2/18/19","I-31",0,4,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"5","GH_0103","SS4034","SS4048",52,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"A5",103.01,"2/18/19","I-31",8,68,NA,NA,0,0,0,0,0,1.07142857142857,1,"#5E4FA2",35
"6","GH_0068","SS4044","SS3660",43,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"A6",68.01,"2/18/19","I-31",NA,2,NA,NA,1,0,0,1,0,NA,NA,"#5E4FA2",35
"7","GH_0043","SS4057","SS3672",37,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"A7",43.01,"2/18/19","I-31",2,6,NA,NA,0,0,0,0,0,0.285714285714286,1,"#5E4FA2",35
"8","GH_0009","SS3605","SS3610",4,"N1",1,2010,"N1 2010",1,"N",1,"35.2",5,1,1,1,0.01,"A8",9.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
"9","GH_0769","NFS153","NFS27",56,"N2",2,2017,"N2 2017",4,"N",1,"35.2",5,1,1,1,0.01,"A9",769.01,"2/18/19","I-31",6,42,NA,NA,0,0,0,0,0,0.857142857142857,1,"#5E4FA2",35
"10","GH_0083","SS4054","SS4037",46,"N2",2,2010,"N2 2010",3,"N",1,"35.2",5,1,1,1,0.01,"A10",83.01,"2/18/19","I-31",0,2,NA,NA,0,1,0,1,0,NA,1,"#5E4FA2",35
