"","FamID","Group","Group.ord"
"1","GH_0002","N1 2010","1"
"2","GH_0003","N1 2010","1"
"3","GH_0007","N1 2010","1"
"4","GH_0009","N1 2010","1"
"5","GH_0010","N1 2010","1"
"6","GH_0018","N1 2010","1"
"7","GH_0020","N1 2010","1"
"8","GH_0023","N1 2010","1"
"9","GH_0026","N1 2010","1"
"10","GH_0027","N1 2010","1"
"11","GH_0029","N1 2010","1"
"12","GH_0030","N1 2010","1"
"13","GH_0031","N1 2010","1"
"14","GH_0032","N1 2010","1"
"15","GH_0034","N1 2010","1"
"16","GH_0035","N1 2010","1"
"17","GH_0039","N1 2010","1"
"18","GH_0040","N1 2010","1"
"19","GH_0043","N2 2010","3"
"20","GH_0046","N2 2010","3"
"21","GH_0052","N2 2010","3"
"22","GH_0057","N2 2010","3"
"23","GH_0062","N2 2010","3"
"24","GH_0066","N2 2010","3"
"25","GH_0068","N2 2010","3"
"26","GH_0074","N2 2010","3"
"27","GH_0075","N2 2010","3"
"28","GH_0083","N2 2010","3"
"29","GH_0087","N2 2010","3"
"30","GH_0090","N2 2010","3"
"31","GH_0094","N2 2010","3"
"32","GH_0098","N2 2010","3"
"33","GH_0102","N2 2010","3"
"34","GH_0103","N2 2010","3"
"35","GH_0108","N2 2010","3"
"36","GH_0114","N2 2010","3"
"37","GH_0122","C1 2010","5"
"38","GH_0127","C1 2010","5"
"39","GH_0134","C1 2010","5"
"40","GH_0146","C1 2010","5"
"41","GH_0159","C1 2010","5"
"42","GH_0165","C1 2010","5"
"43","GH_0169","C1 2010","5"
"44","GH_0173","C1 2010","5"
"45","GH_0179","C1 2010","5"
"46","GH_0191","C1 2010","5"
"47","GH_0197","C1 2010","5"
"48","GH_0209","C1 2010","5"
"49","GH_0215","C1 2010","5"
"50","GH_0222","C1 2010","5"
"51","GH_0233","C1 2010","5"
"52","GH_0250","C1 2010","5"
"53","GH_0255","C1 2010","5"
"54","GH_0257","C1 2010","5"
"55","GH_0266","C2 2010","7"
"56","GH_0268","C2 2010","7"
"57","GH_0270","C2 2010","7"
"58","GH_0271","C2 2010","7"
"59","GH_0274","C2 2010","7"
"60","GH_0275","C2 2010","7"
"61","GH_0277","C2 2010","7"
"62","GH_0281","C2 2010","7"
"63","GH_0284","C2 2010","7"
"64","GH_0286","C2 2010","7"
"65","GH_0287","C2 2010","7"
"66","GH_0290","C2 2010","7"
"67","GH_0291","C2 2010","7"
"68","GH_0293","C2 2010","7"
"69","GH_0297","C2 2010","7"
"70","GH_0300","C2 2010","7"
"71","GH_0301","C2 2010","7"
"72","GH_0302","C2 2010","7"
"73","GH_0306","S1 2010","9"
"74","GH_0312","S1 2010","9"
"75","GH_0316","S1 2010","9"
"76","GH_0326","S1 2010","9"
"77","GH_0334","S1 2010","9"
"78","GH_0340","S1 2010","9"
"79","GH_0353","S1 2010","9"
"80","GH_0357","S1 2010","9"
"81","GH_0375","S1 2010","9"
"82","GH_0387","S1 2010","9"
"83","GH_0400","S1 2010","9"
"84","GH_0405","S1 2010","9"
"85","GH_0409","S1 2010","9"
"86","GH_0414","S1 2010","9"
"87","GH_0416","S1 2010","9"
"88","GH_0436","S1 2010","9"
"89","GH_0447","S1 2010","9"
"90","GH_0467","S1 2010","9"
"91","GH_0475","S2 2010","11"
