FamID,MomID,DadID,Fam ord,Pop,Pop ord,Year,Group,Group ord,Reg,Reg ord,Temp,Temp ord,Temp rep,Tray set,Tray,Rep,Cell,TagID,Planting date,Percival,Leaf number going in,Leaf number coming out (green),Leaf number coming out (brown),Notes
GH_0114,SS4016,SS3657,54,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,A1,114.01,2/18/19,I-31,NA,0,,
GH_0035,SS3606,SS3604,16,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,A2,35.01,2/18/19,I-31,4,14,,
GH_0828,NFS120,NFS110,63,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,A3,828.01,2/18/19,I-31,6,22,,
GH_0732,ROC158,ROC10,33,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,A4,732.01,2/18/19,I-31,0,4,,
GH_0103,SS4034,SS4048,52,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,A5,103.01,2/18/19,I-31,8,68,,
GH_0068,SS4044,SS3660,43,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,A6,68.01,2/18/19,I-31,NA,2,,
GH_0043,SS4057,SS3672,37,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,A7,43.01,2/18/19,I-31,2,6,,
GH_0009,SS3605,SS3610,4,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,A8,9.01,2/18/19,I-31,0,2,,
GH_0769,NFS153,NFS27,56,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,A9,769.01,2/18/19,I-31,6,42,,
GH_0083,SS4054,SS4037,46,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,A10,83.01,2/18/19,I-31,0,2,,
GH_0039,SS3619,SS3607,17,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,A11,39.01,2/18/19,I-31,4,22,,
GH_0864,NFS38,NFS126,67,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,A12,864.01,2/18/19,I-31,6,36,,
GH_0656,ROC47,ROC162,23,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,B1,656.01,2/18/19,I-31,NA,0,,
GH_0683,ROC16,ROC129,28,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,B2,683.01,2/18/19,I-31,0,2,,
GH_0647,ROC155,ROC54,21,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,B3,647.01,2/18/19,I-31,NA,0,,
GH_0853,NFS143,NFS51,66,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,B4,853.01,2/18/19,I-31,8,52,,
GH_0066,SS3673,SS3660,42,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,B5,66.01,2/18/19,I-31,6,30,,
GH_0026,SS3644,SS3646,9,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,B6,26.01,2/18/19,I-31,NA,0,,
GH_0023,SS3616,SS3624,8,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,B7,23.01,2/18/19,I-31,NA,0,,
GH_0003,SS3639,SS3615,2,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,B8,3.01,2/18/19,I-31,8,44,,
GH_0046,SS3692,SS4008,38,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,B9,46.01,2/18/19,I-31,NA,NA,,
GH_0896,NFS136,NFS64,71,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,B10,896.01,2/18/19,I-31,8,48,,
GH_0031,SS3621,SS3604,13,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,B11,31.01,2/18/19,I-31,2,6,,
GH_0027,SS3613,SS3646,10,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,B12,27.01,2/18/19,I-31,0,2,,
GH_0040,SS3642,SS3607,18,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,C1,40.01,2/18/19,I-31,0,4,,
GH_0823,NFS89,NFS112,62,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,C2,823.01,2/18/19,I-31,6,32,,
GH_0729,ROC159,ROC30,32,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,C3,729.01,2/18/19,I-31,NA,0,,
GH_0677,ROC74,ROC132,27,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,C4,677.01,2/18/19,I-31,NA,0,,
GH_0087,SS3680,SS3688,47,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,C5,87.01,2/18/19,I-31,NA,0,,
GH_0057,SS4027,SS4011,40,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,C6,57.01,2/18/19,I-31,4,10,,
GH_0748,ROC18,ROC151,35,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,C7,748.01,2/18/19,I-31,NA,0,,
GH_0884,NFS141,NFS17,69,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,C8,884.01,2/18/19,I-31,8,52,,
GH_0638,ROC61,ROC153,19,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,C9,638.01,2/18/19,I-31,2,4,,
GH_0034,SS3650,SS3604,15,N1,1,2010,N1 2010,1,N,1,35.2,5,1,1,1,0.01,C10,34.01,2/18/19,I-31,8,52,,
GH_0892,NFS99,NFS54,70,N2,2,2017,N2 2017,4,N,1,35.2,5,1,1,1,0.01,C11,892.01,2/18/19,I-31,2,10,,
GH_0052,SS3693,SS4004,39,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,C12,52.01,2/18/19,I-31,0,4,,
GH_0090,SS4014,SS3688,48,N2,2,2010,N2 2010,3,N,1,35.2,5,1,1,1,0.01,D1,90.01,2/18/19,I-31,NA,NA,,
GH_0706,ROC127,ROC161,29,N1,1,2017,N1 2017,2,N,1,35.2,5,1,1,1,0.01,D2,706.01,2/18/19,I-31,NA,NA,,
